"entity_id","rapm","rapm_loess","rapm_blended","rapm_error","model_date","circuit","season","round","overall_round","dev_ratio"
"sargeant-d",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"piastri-d",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"lawson-d",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"bearman-d",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"colapinto-d",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"doohan-d",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"antonelli-d",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"bortoleto-d",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"hadjar-d",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"arvid_lindblad-d",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"ferrari-c",-0.0596223522713513,0,-0.0581317934645676,NA,2012-03-18,"albert_park",2012,1,859,NA
"mclaren-c",-0.322412488317748,0,-0.314352176109804,NA,2012-03-18,"albert_park",2012,1,859,NA
"manor-c",0.143405614656878,0,0.139820474290456,NA,2012-03-18,"albert_park",2012,1,859,NA
"sauber-c",0.0230657773241875,0,0.0224891328910828,NA,2012-03-18,"albert_park",2012,1,859,NA
"alpine-c",0.0119455338327453,0,0.0116468954869267,NA,2012-03-18,"albert_park",2012,1,859,NA
"aston_martin-c",0.119297870573042,0,0.116315423808716,NA,2012-03-18,"albert_park",2012,1,859,NA
"toro_rosso-c",0.207317013445759,0,0.202134088109615,NA,2012-03-18,"albert_park",2012,1,859,NA
"mercedes-c",0.130322124655931,0,0.127064071539533,NA,2012-03-18,"albert_park",2012,1,859,NA
"red_bull-c",-0.253317381443135,0,-0.246984446907057,NA,2012-03-18,"albert_park",2012,1,859,NA
"williams-c",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"hrt-c",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"caterham-c",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"haas-c",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"NA-c",0,0,0,NA,2012-03-18,"albert_park",2012,1,859,NA
"alonso-d",-0.432480288310329,0,-0.410856273894812,NA,2012-03-25,"sepang",2012,2,870,NA
"button-d",0.0556633098798699,0,0.0528801443858764,NA,2012-03-25,"sepang",2012,2,870,NA
"glock-d",0.244178143449809,0,0.231969236277319,NA,2012-03-25,"sepang",2012,2,870,NA
"hamilton-d",-0.367489187972829,0,-0.349114728574187,NA,2012-03-25,"sepang",2012,2,870,NA
"kobayashi-d",-0.0464367955326528,0,-0.0441149557560201,NA,2012-03-25,"sepang",2012,2,870,NA
"perez-d",-0.30391643409844,0,-0.288720612393518,NA,2012-03-25,"sepang",2012,2,870,NA
"pic-d",0.165523243879676,0,0.157247081685692,NA,2012-03-25,"sepang",2012,2,870,NA
"raikkonen-d",-0.185381652002711,0,-0.176112569402576,NA,2012-03-25,"sepang",2012,2,870,NA
"resta-d",-0.0302992912340166,0,-0.0287843266723158,NA,2012-03-25,"sepang",2012,2,870,NA
"ricciardo-d",0.163069464373364,0,0.154915991154696,NA,2012-03-25,"sepang",2012,2,870,NA
"rosberg-d",0.226475937456331,0,0.215152140583515,NA,2012-03-25,"sepang",2012,2,870,NA
"vergne-d",0.0207007402229675,0,0.0196657032118191,NA,2012-03-25,"sepang",2012,2,870,NA
"vettel-d",0.00496003598326969,0,0.0047120341841062,NA,2012-03-25,"sepang",2012,2,870,NA
"webber-d",-0.295691927847943,0,-0.280907331455546,NA,2012-03-25,"sepang",2012,2,870,NA
"bruno_senna-d",-0.115133411237182,0,-0.109376740675323,NA,2012-03-25,"sepang",2012,2,870,NA
"hulkenberg-d",0.0350938501687205,0,0.0333391576602845,NA,2012-03-25,"sepang",2012,2,870,NA
