"","entity_id","rapm","model_date","season","round","overall_round","circuit","dev_ratio","rapm_loess","rapm_blended","rapm_error","span_value","weight_value"
"46","giovinazzi-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"47","stroll-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"48","gasly-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"49","brendon_hartley-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"50","leclerc-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"51","sirotkin-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"52","norris-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"53","albon-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"54","russell-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"55","kubica-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"56","latifi-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"57","aitken-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"58","pietro_fittipaldi-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"59","tsunoda-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"60","mick_schumacher-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"61","mazepin-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"62","zhou-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"63","de_vries-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"64","sargeant-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"65","piastri-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"66","lawson-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"67","bearman-d",0,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0,0,0.5,0.7
"68","mclaren-c",-0.330571953607707,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.322307654767514,0.135501369375224,0.3,0.3
"69","red_bull-c",-0.25975414149404,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.253260287956689,0.11952849067547,0.3,0.3
"70","ferrari-c",-0.0612272699561167,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,-0.0596965882072138,0.0705768682533867,0.3,0.3
"71","sauber-c",0.0235170176025158,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.0229290921624529,0.0801128679995913,0.3,0.3
"72","alpine-c",0.0121901488424719,2012-03-18,2012,1,859,"albert_park",0.148859693885147,0,0.0118853951214101,0.0296701551749361,0.3,0.3
